--- HEAP SORT START ---
Initial:
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 1      | Initial |
| 1       | 2      | Initial |
| 2       | 10     | Initial |
| 3       | 11     | Initial |
| 4       | 12     | Initial |
| 5       | 13     | Initial |
| 6       | 9      | Initial |
| 7       | 8      | Initial |
| 8       | 7      | Initial |
| 9       | 6      | Initial |
| 10      | 5      | Initial |
| 11      | 4      | Initial |

Compare 13 with 4
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 1      | Swap 5 <-> 11 |
| 1       | 2      | Swap 5 <-> 11 |
| 2       | 10     | Swap 5 <-> 11 |
| 3       | 11     | Swap 5 <-> 11 |
| 4       | 12     | Swap 5 <-> 11 |
| 5       | 4      | Swap 5 <-> 11 |
| 6       | 9      | Swap 5 <-> 11 |
| 7       | 8      | Swap 5 <-> 11 |
| 8       | 7      | Swap 5 <-> 11 |
| 9       | 6      | Swap 5 <-> 11 |
| 10      | 5      | Swap 5 <-> 11 |
| 11      | 13     | Swap 5 <-> 11 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 1 | Root level. |
| 1 | 2, 10 | Children of previous level. Missing children shown as [ ]. |
| 2 | 11, 12, 4, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 7, 6, 5, 13 | Children of previous level. Missing children shown as [ ]. |

Compare 12 with 6
Compare 6 with 5
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 1      | Swap 4 <-> 10 |
| 1       | 2      | Swap 4 <-> 10 |
| 2       | 10     | Swap 4 <-> 10 |
| 3       | 11     | Swap 4 <-> 10 |
| 4       | 5      | Swap 4 <-> 10 |
| 5       | 4      | Swap 4 <-> 10 |
| 6       | 9      | Swap 4 <-> 10 |
| 7       | 8      | Swap 4 <-> 10 |
| 8       | 7      | Swap 4 <-> 10 |
| 9       | 6      | Swap 4 <-> 10 |
| 10      | 12     | Swap 4 <-> 10 |
| 11      | 13     | Swap 4 <-> 10 |

### Tree Structure (Markdown Table)

